kind,code,num,class_name,prof,room_time
전선,LB00026,01,영어발달사,김성찬,"7205 / 화 / 15:00~16:15
7205 / 목 / 15:00~16:15"
전필,LB00027,01,영작문2,김혜인,"7302 / 화 / 12:00~13:15
7302 / 목 / 12:00~13:15"
전선,LC00001,01,세계와 일본,양기호,7303 / 화 / 09:00~11:50
전선,LC00002,01,스크린일본어,"요코야마 
나호코","7303 / 화 / 12:00~13:15
7303 / 목 / 12:00~13:15"
전선,LC00003,01,일본근현대문학의 이해,박은희,7302 / 화 / 15:00~17:50
전선,LC00004,01,일본근현대사,권혁태,7301 / 화 / 09:00~11:50
전선,LC00006,01,일본어표현연습,"요코야마 
나호코","7303 / 월 / 13:30~14:45
7303 / 수 / 13:30~14:45"
전선,LC00007,01,일본원서 강독2,권혁태,"7301 / 화 / 13:30~14:45
7301 / 목 / 13:30~14:45"
전선,LC00008,01,일본정치론,양기호,"7303 / 화 / 13:30~14:45
7303 / 목 / 13:30~14:45"
전선,LC00009,01,일본지방론,양기호,7303 / 목 / 09:00~11:50
전필,LC00010,01,일본학세미나,장화경,7302 / 수 / 09:00~11:50
전필,LC00011,01,일본학입문,장화경,"7302 / 월 / 12:00~13:15
7302 / 수 / 12:00~13:15"
전선,LC00026,01,한일문화콘텐츠통번역2,박미숙,7302 / 목 / 15:00~17:50
전필,LD00002,01,중국고전을 읽다,백원담,"7307 / 월 / 15:00~16:15
7307 / 수 / 15:00~16:15"
전선,LD00003,01,중국어회화Ⅲ,장엽,"7306 / 월 / 13:30~14:45
7306 / 수 / 13:30~14:45"
전선,LD00004,01,중국문화산업,윤영도,"M403 / 화 / 12:00~13:15
M403 / 목 / 12:00~13:15"
전선,LD00005,01,중국어 회화I,장엽,"7302 / 화 / 13:30~14:45
7302 / 목 / 13:30~14:45"
전선,LD00006,01,중국의 경제정책,이남주,"7305 / 화 / 15:00~16:15
7305 / 목 / 15:00~16:15"
전선,LD00008,01,한중번역연습,장영석,"7305 / 화 / 16:30~17:45
7305 / 목 / 16:30~17:45"
전선,LD00009,01,중국어 작문 연습,장엽,7305 / 화 / 09:00~11:50
전필,LD00010,01,중국사회사정,장영석,"7306 / 월 / 12:00~13:15
7306 / 수 / 12:00~13:15"
전필,MA00001,01,인간행동과사회환경,김은영,7205 / 화 / 12:00~14:50
전필,MA00002,01,지역사회복지론,남일성,7205 / 목 / 09:00~11:50
전필,MA00003,01,사회복지조사론,김연아,M404 / 목 / 15:00~17:50
전필,MA00004,01,사회복지실천론,장희숙,7304 / 수 / 12:00~14:50
전필,MA00005,01,사회복지실천기술론,장희숙,7206 / 금 / 12:00~14:50
전필,MA00006,01,사회복지정책론,은민수,M407 / 월 / 12:00~14:50
전필,MA00007,01,사회복지행정론,황인매,M407 / 화 / 09:00~11:50
전필,MA00008,01,사회복지법제와실천,이호종,M407 / 화 / 15:00~17:50
전선,MA00009,01,아동복지론,양경은,"7207 / 화 / 13:30~14:45
7207 / 목 / 13:30~14:45"
전선,MA00010,01,정신건강론,박지혜,7204 / 월 / 15:00~17:50
전선,MA00011,01,노인복지론,남일성,M406 / 화 / 09:00~11:50
전선,MA00012,01,장애인복지론,김용득,7306 / 화 / 09:00~11:50
전선,MA00014,01,복지국가론,문병주,1506 / 수 / 15:00~17:50
전선,MA00015,01,사회복지자료분석론,김형돈,3302 / 수 / 12:00~14:50
전필,MA00027,01,사회복지현장실습 I,서진환,9999 / 토 / 09:00~11:50
전필,MA00027,02,사회복지현장실습 I,이동림,9999 / 토 / 09:00~11:50
전선,MA00029,01,졸업세미나,양경은,7307 / 화 / 15:00~15:50
전선,MA00033,01,융복합디지털사회복지혁신랩,"이동림
조남경",7417 / 수 / 15:00~17:50
전선,MA00034,01,융복합미래사회복지실천실습,"남일성
이동림",7306 / 월 / 15:00~17:50
전선,MB00001,01,계급과 계층,김동춘,7306 / 화 / 15:00~17:50
전선,MB00003,01,사회이론의이해,조미혜,1505 / 목 / 09:00~11:50
전선,MB00004,01,젠더사회학,김향수,M406 / 수 / 15:00~17:50
전필,MB00006,01,사회학개론,조미혜,7205 / 수 / 09:00~11:50
전선,MB00008,01,역사사회학,오유석,M402 / 화 / 15:00~17:50
전선,MB00012,01,비교사회체제론,배성인,M407 / 목 / 15:00~17:50
전선,MB00017,01,사회과학방법론의 이해,김진업,7204 / 수 / 12:00~14:50
전선,MB00019,01,글로벌 사회학,조효제,7204 / 수 / 09:00~11:50
전선,MB00028,01,사회조사데이터분석,김이선,M401 / 화 / 12:00~14:50
전선,MB00030,01,교육과사회,박경주,1505 / 월 / 15:00~17:50
전선,MB00032,01,사회를위한경제,강영선,1505 / 화 / 09:00~11:50
전선,MB00037,01,인공지능과사회,정한별,M406 / 월 / 12:00~14:50
전선,AK00064,01,다양성과소수자,박경태,"7208 / 화 / 13:00~14:45
7208 / 목 / 13:00~14:45"
전선,MC00001,01,거시경제학(국민소득론),유철규,"7301 / 월 / 15:00~16:15
7301 / 수 / 15:00~16:15"
전필,MC00002,01,경제학세미나 I,유철규,7304 / 월 / 09:00~11:50
전선,MC00003,01,문화경제학,신현준,"M404 / 월 / 13:30~14:45
M404 / 수 / 13:30~14:45"
전선,MC00004,01,재정학,이상철,"7305 / 화 / 13:30~14:45
7305 / 목 / 13:30~14:45"
전필,MC00005,01,경제학개론,유철규,"7301 / 화 / 16:30~17:45
7301 / 목 / 16:30~17:45"
전선,MC00006,01,자본주의의역사,이상철,7305 / 목 / 09:00~11:50
전선,MC00007,01,노동경제학,신현준,"M404 / 월 / 12:00~13:15
M404 / 수 / 12:00~13:15"
전선,MC00008,01,분배와복지의경제학,이동한,1506 / 화 / 09:00~11:50
전필,MD00001,01,정치학개론,박은홍,"M403 / 화 / 16:30~17:45
M403 / 목 / 16:30~17:45"
전선,MD00002,01,정당과 선거,김혜진,1506 / 수 / 12:00~14:50
전선,MD00006,01,현대한국정치론,김형철,1506 / 월 / 12:00~14:50
전선,MD00020,01,사회주의 체제와 북한,박은홍,"7305 / 월 / 16:30~17:45
7305 / 수 / 16:30~17:45"
전선,MD00029,01,비교정치특강,박은홍,"7305 / 월 / 15:00~16:15
7305 / 수 / 15:00~16:15"
전선,MD00030,01,국제개발협력,윤석준,M404 / 화 / 09:00~11:50
전선,ME00002,01,글로벌비지니스의 이해,장승권,"M403 / 월 / 12:00~13:15
M403 / 수 / 12:00~13:15"
전선,ME00002,02,글로벌비지니스의 이해,정은재,7304 / 월 / 15:00~17:50
전필,ME00003,01,경영정보시스템,송재민,7205 / 금 / 15:00~17:50
전선,ME00005,01,인적자원관리,윤숙희,M402 / 수 / 09:00~11:50
전선,ME00006,01,기업과 사회,윤길순,M407 / 목 / 12:00~14:50
전필,ME00007,01,기업재무관리,최우석,"7309 / 화 / 16:30~17:45
7309 / 목 / 16:30~17:45"
전필,ME00009,01,경영전략,이선희,1505 / 목 / 15:00~17:50
전선,ME00010,01,경영의사결정론,박상선,"3302 / 화 / 12:00~13:15
3302 / 목 / 12:00~13:15"
전필,ME00012,01,마케팅,이상훈,7202 / 금 / 12:00~14:50
전선,ME00014,01,셀프리더십,염준규,7204 / 월 / 12:00~14:50
전필,ME00017,01,조직행동,"장승권
정선영",7206 / 화 / 12:00~14:50
전선,ME00020,01,포트폴리오와 투자관리,최우석,7204 / 금 / 12:00~14:50
전선,ME00021,01,경영영어,조수미,M407 / 금 / 09:00~11:50
전선,ME00021,02,경영영어,조수미,M406 / 금 / 12:00~14:50
전선,ME00024,01,서비스 경영,이상훈,7202 / 금 / 15:00~17:50
전선,ME00027,01,경영회계,이동욱,7306 / 수 / 15:00~17:50
전선,ME00028,01,경영빅데이터프로그래밍,송재민,"B105 / 월 / 13:30~14:45
B105 / 수 / 13:30~14:45"
전선,ME00029,01,팀창업실제,이예나,M403 / 금 / 09:00~11:50
전선,ME00031,01,데이터분석방법론심화,미지정,M401 / 금 / 18:00~20:50
전선,ME00032,01,머신러닝실습과팀프로젝트,미지정,7104 / 수 / 15:00~17:50
전선,ME00033,01,빅데이터분석실습과팀프로젝트,미지정,M406 / 금 / 15:00~17:50
전선,ME00034,01,빅데이터와비즈니스모델,미지정,M402 / 금 / 12:00~14:50
전선,PB00001,01,스토리텔링과 미디어,백정숙,1503 / 화 / 15:00~17:50
전선,PB00002,01,사진커뮤니케이션,김서중,7309 / 금 / 09:00~11:50
전선,PB00003,01,미디어법과정책,김서중,7204 / 화 / 09:00~11:50
전필,PB00006,01,미디어조사방법,조은기,7206 / 화 / 09:00~11:50
전필,PB00008,01,기사작성과 편집,조도현,7202 / 목 / 09:00~11:50
전선,PB00009,01,저작권과지적재산권,김정훈,7304 / 수 / 15:00~17:50
전필,PB00010,01,스피치커뮤니케이션,최진봉,7204 / 월 / 09:00~11:50
전필,PB00010,02,스피치커뮤니케이션,최진봉,7204 / 목 / 09:00~11:50
전선,PB00011,01,PR캠페인실습,최진봉,7205 / 금 / 12:00~14:50
전선,PB00013,01,광고크리에이티브,윤목,1503 / 월 / 12:00~14:50
전선,PB00014,01,영상제작실습 II,연희승,"M402 / 월 / 15:00~16:15
M402 / 수 / 15:00~16:15"
전선,PB00015,01,1인방송제작실습,연희승,"B105 / 월 / 16:30~17:45
B105 / 수 / 16:30~17:45"
전선,PB00016,01,문화기획과예술경영,양재영,7202 / 목 / 15:00~17:50
전선,PB00017,01,연극과커뮤니케이션,권정택,7202 / 월 / 15:00~17:50
전선,PB00018,01,영상분석과비평,박소정,M402 / 수 / 12:00~14:50
전선,PB00019,01,광고캠페인,유은아,7205 / 수 / 12:00~14:50
전선,PB00020,01,소셜미디어와 시민사회,이진순,7204 / 화 / 12:00~14:50
전선,PB00043,01,커뮤니케이션 사상사,조은기,7206 / 수 / 09:00~11:50
전선,PB00044,01,"4차 산업혁명과 디지털 미디어 
플랫폼",조은기,7206 / 월 / 09:00~11:50
전선,PD00001,01,문화기획의이론과실천,정윤수,7305 / 월 / 12:00~14:50
전선,PD00002,01,미디어문화&사회,이정엽,1505 / 화 / 15:00~17:50
전선,PA00009,01,디자인소재연구,이영아,M401 / 화 / 09:00~11:50
전선,PA00010,01,영상디자인II,고일준,6403 / 수 / 15:00~17:50
전선,PA00012,01,컨셉 아트,박인평,M401 / 수 / 15:00~17:50
전필,PA00021,01,디지털 라이팅과 랜더링,김대우,"6403 / 화 / 15:00~16:15
6403 / 목 / 15:00~16:15"
전선,PA00028,01,일러스트 작품제작,박인평,M401 / 수 / 12:00~14:50
